"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",2354,"ec","00380",75,229,"ec:1.1.1.35",41.2265428516154,7,2,3,4,4,4,4,4
"2",2361,"ec","00380",75,229,"ec:2.1.1.4",2.97929967111627,7,3,7,11,25,41,53,59
"3",2362,"ec","00380",75,229,"ec:2.3.1.87",4.79783323660283,7,5,11,25,41,53,59,63
"4",2366,"ec","00380",75,229,"ec:4.1.1.28",12.7103888566454,7,2,3,6,21,39,53,59
"5",2367,"ec","00380",75,229,"ec:4.1.1.28",12.7103888566454,7,6,22,41,53,59,63,64
"6",2368,"ec","00380",75,229,"ec:1.13.11.52",6.32617527568195,7,4,20,39,53,59,63,64
"7",2376,"ec","00380",75,229,"ec:4.2.1.17",57.8448442638808,7,2,4,4,4,4,4,4
"8",2377,"ec","00380",75,229,"ec:1.3.8.6",43.3546140452699,7,2,3,4,4,4,4,4
"9",2379,"ec","00380",75,229,"ec:1.2.1.32",11.6850454633391,7,2,3,8,13,16,18,28
"10",2380,"ec","00380",75,229,"ec:4.1.1.45",12.304120719675,7,2,8,13,16,18,28,43
"11",2381,"ec","00380",75,229,"ec:1.13.11.6",13.1360030953763,7,6,12,16,18,28,43,56
"12",2388,"ec","00380",75,229,"ec:4.1.99.1",10.6403559682724,7,12,28,45,55,63,64,65
"13",2389,"ec","00380",75,229,"ec:1.14.16.4",4.58502611723738,7,13,34,49,59,63,64,65
"14",2396,"ec","00380",75,229,"ec:1.3.1.18",0,7,2,2,2,2,2,2,2
"15",2400,"ec","00380",75,229,"ec:1.4.3.4",24.6662797446315,7,6,10,25,41,53,59,63
"16",2406,"ec","00380",75,229,"ec:3.5.1.9",21.2226736312633,7,2,6,21,39,53,59,63
"17",2413,"ec","00380",75,229,"ec:3.2.1.147",0.174114915844457,7,4,13,31,37,47,56,63
"18",2423,"ec","00380",75,229,"ec:2.8.2.24",0.193461017604953,7,2,5,13,31,37,47,56
