"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10"
"1",3013,"ec","00520",134,328,"ec:5.1.3.14",48.084259412838,10,8,16,36,52,63,75,79,87,102,111
"2",3022,"ec","00520",134,328,"ec:1.1.1.136",10.0680046442196,10,9,21,41,56,63,75,79,87,102,111
"3",3042,"ec","00520",134,328,"ec:1.1.1.335",5.20816055730635,10,2,11,23,42,56,63,75,79,87,102
"4",3043,"ec","00520",134,328,"ec:2.6.1.98",4.37883562779897,10,2,4,12,23,42,56,63,75,79,87
"5",3044,"ec","00520",134,328,"ec:2.3.1.201",5.20816055730635,10,2,3,4,12,23,42,56,63,75,79
"6",3046,"ec","00520",134,328,"ec:4.2.1.115",6.17017747553491,10,9,21,41,56,64,75,79,87,102,111
"7",3047,"ec","00520",134,328,"ec:2.6.1.92",2.4382152927517,10,2,11,23,43,57,64,75,79,87,102
"8",3048,"ec","00520",134,328,"ec:2.3.1.202",2.50456128711229,10,2,4,13,24,43,57,64,75,79,87
"9",3049,"ec","00520",134,328,"ec:3.6.1.57",2.17283131530934,10,2,4,5,13,24,43,57,64,75,79
"10",3050,"ec","00520",134,328,"ec:2.5.1.97",4.1797976447172,10,2,3,4,5,13,24,43,57,64,75
"11",3057,"ec","00520",134,328,"ec:5.1.3.2",88.7875269530602,10,9,18,29,38,49,61,75,94,104,111
"12",3058,"ec","00520",134,328,"ec:1.1.1.22",71.1063194559628,10,11,23,33,40,50,61,75,94,104,111
"13",3061,"ec","00520",134,328,"ec:5.3.1.8",73.4284292585835,10,9,22,37,56,82,98,108,113,117,119
"14",3062,"ec","00520",134,328,"ec:5.4.2.8",76.2315475203185,10,6,15,31,44,59,83,98,108,113,117
"15",3067,"ec","00520",134,328,"ec:2.7.7.30",2.90263725327583,10,2,7,13,14,18,23,34,45,59,83
"16",3069,"ec","00520",134,328,"ec:2.6.1.87",7.79565433736938,10,2,9,19,28,35,41,50,61,75,94
"17",3070,"ec","00520",134,328,"ec:2.1.2.13",8.11079781058219,10,2,3,9,19,28,35,41,50,61,75
"18",3072,"ec","00520",134,328,"ec:2.7.1.46",1.69182285619506,10,2,5,9,15,22,29,36,41,50,61
"19",3073,"ec","00520",134,328,"ec:2.7.7.64",2.22259081107978,10,4,9,15,22,29,36,41,50,61,75
"20",3079,"ec","00520",134,328,"ec:2.7.7.33",17.4821695140156,10,5,10,12,13,13,13,13,13,13,13
"21",3081,"ec","00520",134,328,"ec:4.2.1.47",39.8407696135346,10,10,13,18,23,34,45,59,83,98,108
"22",3082,"ec","00520",134,328,"ec:1.1.1.271",31.796317797313,10,6,13,14,18,23,34,45,59,83,98
"23",3088,"ec","00520",134,328,"ec:1.1.1.342",0.779565433736938,10,3,4,5,9,13,13,13,13,13,13
"24",3089,"ec","00520",134,328,"ec:5.3.1.9",96.5997677890197,10,11,22,37,61,87,101,110,114,117,119
"25",3100,"ec","00520",134,328,"ec:4.2.1.45",12.589152429922,10,2,8,13,13,13,13,13,13,13,13
"26",3111,"ec","00520",134,328,"ec:2.4.2.24",1.32691988721181,10,3,12,21,29,36,41,50,61,75,94
"27",3113,"ec","00520",134,328,"ec:1.1.1.305",8.11079781058219,10,7,18,28,35,41,50,61,75,94,104
"28",3114,"ec","00520",134,328,"ec:1.17.1.1",16.967988057721,10,3,5,9,13,13,13,13,13,13,13
"29",3116,"ec","00520",134,328,"ec:2.6.1.102",4.71056559960192,10,6,12,14,18,23,34,45,59,83,98
"30",3118,"ec","00520",134,328,"ec:4.2.1.135",1.14446840272019,10,9,21,41,56,64,75,79,87,102,111
"31",3119,"ec","00520",134,328,"ec:2.6.1.34",1.17764139990048,10,2,11,23,43,57,64,75,79,87,102
"32",3120,"ec","00520",134,328,"ec:2.3.1.203",1.22740089567092,10,2,4,13,24,43,57,64,75,79,87
"33",3121,"ec","00520",134,328,"ec:3.2.1.184",3.1016752363576,10,2,4,5,13,24,43,57,64,75,79
"34",3122,"ec","00520",134,328,"ec:2.5.1.101",3.1016752363576,10,2,3,4,5,13,24,43,57,64,75
