"","pathway","Eukaryotes","Prokaryotes","Animals","Plants","Fungi","Protists","Bacteria","Archaea"
"48","00364",0,2293,0,0,0,0,2233,60
"49","00365",0,129,0,0,0,0,126,3
"50","00380",521,4648,248,105,123,45,4412,236
"51","00400",526,5319,248,105,123,50,5022,297
"52","00401",0,4668,0,0,0,0,4398,270
"53","00402",4,0,0,4,0,0,0,0
"54","00403",13,0,0,0,13,0,0,0
"55","00404",3,71,0,0,3,0,71,0
"56","00405",0,684,0,0,0,0,666,18
"57","00410",507,4444,247,105,123,32,4158,286
"58","00430",498,4840,248,104,123,23,4714,126
"59","00440",520,3277,248,100,126,46,3204,73
"60","00450",530,5562,248,105,128,49,5263,299
"61","00460",262,4852,0,104,128,30,4671,181
"62","00471",247,5335,238,0,0,9,5067,268
"63","00472",333,1946,211,6,106,10,1925,21
"64","00473",0,4755,0,0,0,0,4755,0
"65","00480",531,5466,248,105,128,50,5205,261
"66","00500",531,5416,248,105,128,50,5124,292
"67","00510",526,0,248,105,123,50,0,0
"68","00511",500,2518,248,105,121,26,2444,74
"69","00512",248,0,248,0,0,0,0,0
"70","00513",524,0,248,105,123,48,0,0
"71","00514",492,778,248,105,127,12,774,4
"72","00515",443,783,248,56,127,12,779,4
"73","00520",531,5498,248,105,128,50,5200,298
"74","00521",0,5106,0,0,0,0,4814,292
"75","00522",0,4,0,0,0,0,4,0
"76","00523",4,3942,4,0,0,0,3755,187
"77","00524",149,30,142,0,0,7,30,0
"78","00525",0,3748,0,0,0,0,3582,166
"79","00531",472,0,248,96,104,24,0,0
"80","00532",248,0,248,0,0,0,0,0
"81","00533",193,0,193,0,0,0,0,0
"82","00534",248,0,248,0,0,0,0,0
"83","00540",0,3578,0,0,0,0,3578,0
"84","00550",0,5080,0,0,0,0,5080,0
"85","00561",531,5261,248,105,128,50,5111,150
"86","00562",531,4828,248,105,128,50,4550,278
"87","00563",525,0,248,101,128,48,0,0
"88","00564",531,5499,248,105,128,50,5202,297
"89","00565",526,1301,248,105,126,47,1300,1
"90","00571",0,70,0,0,0,0,70,0
"91","00572",0,70,0,0,0,0,70,0
"92","00590",517,3154,248,105,125,39,3148,6
"93","00591",343,205,187,96,54,6,205,0
"94","00592",506,3040,246,105,127,28,2977,63
"95","00600",517,2018,248,105,128,36,1986,32
"96","00601",340,8,245,92,1,2,6,2
"97","00603",429,0,247,95,73,14,0,0
"98","00604",376,0,248,99,0,29,0,0
"99","00620",531,5560,248,105,128,50,5262,298
"100","00621",0,1139,0,0,0,0,1135,4
"101","00622",0,2333,0,0,0,0,2266,67
"102","00623",0,2365,0,0,0,0,2302,63
"103","00624",0,817,0,0,0,0,812,5
"104","00625",0,4404,0,0,0,0,4247,157
"105","00626",0,3979,0,0,0,0,3858,121
"106","00627",0,3853,0,0,0,0,3622,231
"107","00630",530,5493,248,105,127,50,5197,296
"108","00633",0,2431,0,0,0,0,2299,132
"109","00640",530,5520,248,105,128,49,5223,297
"110","00642",0,151,0,0,0,0,148,3
"111","00643",0,2928,0,0,0,0,2849,79
"112","00650",507,5333,248,105,123,31,5038,295
"113","00660",228,4725,1,105,122,0,4473,252
"114","00670",526,5521,248,105,127,46,5226,295
"115","00680",128,5545,0,0,128,0,5248,297
"116","00710",108,432,0,105,0,3,432,0
"117","00720",0,352,0,0,0,0,55,297
"118","00730",530,5515,248,105,127,50,5216,299
"119","00740",518,5398,248,105,123,42,5102,296
"120","00750",516,5091,248,105,123,40,4821,270
"121","00760",524,5491,248,105,126,45,5194,297
"122","00770",525,5494,248,105,123,49,5200,294
"123","00780",517,5329,248,105,123,41,5041,288
"124","00785",520,4920,248,105,123,44,4756,164
"125","00790",530,5432,248,105,128,49,5137,295
"126","00791",100,855,0,0,100,0,851,4
"127","00830",248,0,248,0,0,0,0,0
"128","00860",527,5140,248,105,127,47,4848,292
"129","00900",531,5406,248,105,128,50,5110,296
"130","00901",25,0,0,9,16,0,0,0
"131","00902",89,0,0,89,0,0,0,0
"132","00903",95,2579,0,95,0,0,2579,0
"133","00904",108,0,0,91,17,0,0,0
"134","00905",93,0,0,93,0,0,0,0
"135","00906",163,2152,0,105,58,0,2054,98
"136","00908",91,0,0,91,0,0,0,0
"137","00909",226,761,0,105,121,0,698,63
"138","00910",519,5104,248,105,123,43,4813,291
"139","00920",505,5087,248,105,123,29,4800,287
"140","00930",0,2316,0,0,0,0,2316,0
"141","00940",97,0,0,97,0,0,0,0
"142","00941",91,0,0,91,0,0,0,0
"143","00942",79,0,0,79,0,0,0,0
"144","00943",66,0,0,66,0,0,0,0
"145","00944",89,0,0,89,0,0,0,0
"146","00945",91,0,0,91,0,0,0,0
"147","00950",105,0,0,105,0,0,0,0
"148","00960",105,0,0,105,0,0,0,0
"149","00965",92,0,0,92,0,0,0,0
"150","00966",100,0,0,100,0,0,0,0
"151","00970",531,5574,248,105,128,50,5275,299
"152","00980",248,0,248,0,0,0,0,0
"153","00981",71,0,71,0,0,0,0,0
"154","00982",248,0,248,0,0,0,0,0
"155","00983",248,70,248,0,0,0,70,0
"156","00984",0,381,0,0,0,0,381,0
"157","00998",92,572,0,90,2,0,572,0
"158","00999",95,545,0,91,4,0,545,0
"159","01010",0,0,0,0,0,0,0,0
"160","01040",531,2747,248,105,128,50,2747,0
"161","01051",0,80,0,0,0,0,80,0
"162","01052",0,43,0,0,0,0,43,0
"163","01053",11,1275,0,0,11,0,1273,2
"164","01054",0,1832,0,0,0,0,1769,63
"165","01055",0,346,0,0,0,0,345,1
"166","01056",0,97,0,0,0,0,97,0
"167","01057",0,128,0,0,0,0,128,0
"168","01058",2,0,0,2,0,0,0,0
"169","01059",0,202,0,0,0,0,200,2
"170","01060",0,0,0,0,0,0,0,0
"171","01061",0,0,0,0,0,0,0,0
"172","01062",0,0,0,0,0,0,0,0
"173","01063",0,0,0,0,0,0,0,0
"174","01064",0,0,0,0,0,0,0,0
"175","01065",0,0,0,0,0,0,0,0
"176","01066",0,0,0,0,0,0,0,0
"177","01070",0,0,0,0,0,0,0,0
"178","01100",531,5573,248,105,128,50,5274,299
"179","01110",283,5573,0,105,128,50,5274,299
"180","01120",0,5573,0,0,0,0,5274,299
"181","01130",178,5572,0,0,128,50,5273,299
"182","01200",531,5572,248,105,128,50,5273,299
"183","01210",524,5342,248,105,123,48,5045,297
"184","01212",531,5311,248,105,128,50,5062,249
"185","01220",0,4704,0,0,0,0,4496,208
"186","01230",531,5571,248,105,128,50,5272,299
"187","01501",89,5023,0,1,88,0,5011,12
"188","01502",95,5133,0,94,1,0,5064,69
"189","01503",0,4782,0,0,0,0,4750,32
"190","01521",65,0,65,0,0,0,0,0
"191","01522",65,0,65,0,0,0,0,0
"192","01523",65,0,65,0,0,0,0,0
"193","01524",65,0,65,0,0,0,0,0
"194","02010",521,5522,248,105,122,46,5228,294
"195","02020",0,5503,0,0,0,0,5208,295
"196","02024",0,5564,0,0,0,0,5265,299
"197","02025",0,110,0,0,0,0,110,0
"198","02026",0,68,0,0,0,0,68,0
"199","02030",0,3394,0,0,0,0,3253,141
"200","02040",0,2850,0,0,0,0,2850,0
"201","02060",0,4028,0,0,0,0,3998,30
"202","03008",531,0,248,105,128,50,0,0
"203","03010",531,5574,248,105,128,50,5275,299
"204","03013",531,0,248,105,128,50,0,0
"205","03015",531,294,248,105,128,50,0,294
"206","03018",531,5573,248,105,128,50,5274,299
"207","03020",531,5567,248,105,128,50,5268,299
