"","node1","node2","org","pathway","EC"
"63","hsa:501","hsa:131","hsa","00010","1.2.1.31 / 1.2.1.8 / 1.2.1.3"
"64","hsa:501","hsa:10327","hsa","00010","1.2.1.5"
"65","hsa:218","hsa:124","hsa","00010","1.2.1.5"
"66","hsa:218","hsa:125","hsa","00010","1.2.1.5"
"67","hsa:218","hsa:126","hsa","00010","1.2.1.5"
"68","hsa:218","hsa:127","hsa","00010","1.2.1.5"
"69","hsa:218","hsa:128","hsa","00010","1.2.1.5"
"70","hsa:218","hsa:130","hsa","00010","1.2.1.5"
"71","hsa:218","hsa:131","hsa","00010","1.2.1.5"
"72","hsa:218","hsa:10327","hsa","00010","1.2.1.5"
"73","hsa:220","hsa:124","hsa","00010","1.2.1.5"
"74","hsa:220","hsa:125","hsa","00010","1.2.1.5"
"75","hsa:220","hsa:126","hsa","00010","1.2.1.5"
"76","hsa:220","hsa:127","hsa","00010","1.2.1.5"
"77","hsa:220","hsa:128","hsa","00010","1.2.1.5"
"78","hsa:220","hsa:130","hsa","00010","1.2.1.5"
"79","hsa:220","hsa:131","hsa","00010","1.2.1.5"
"80","hsa:220","hsa:10327","hsa","00010","1.2.1.5"
"81","hsa:221","hsa:124","hsa","00010","1.2.1.5"
"82","hsa:221","hsa:125","hsa","00010","1.2.1.5"
"83","hsa:221","hsa:126","hsa","00010","1.2.1.5"
"84","hsa:221","hsa:127","hsa","00010","1.2.1.5"
"85","hsa:221","hsa:128","hsa","00010","1.2.1.5"
"86","hsa:221","hsa:130","hsa","00010","1.2.1.5"
"87","hsa:221","hsa:131","hsa","00010","1.2.1.5"
"88","hsa:221","hsa:10327","hsa","00010","1.2.1.5"
"89","hsa:222","hsa:124","hsa","00010","1.2.1.5"
"90","hsa:222","hsa:125","hsa","00010","1.2.1.5"
"91","hsa:222","hsa:126","hsa","00010","1.2.1.5"
"92","hsa:222","hsa:127","hsa","00010","1.2.1.5"
"93","hsa:222","hsa:128","hsa","00010","1.2.1.5"
"94","hsa:222","hsa:130","hsa","00010","1.2.1.5"
"95","hsa:222","hsa:131","hsa","00010","1.2.1.5"
"96","hsa:222","hsa:10327","hsa","00010","1.2.4.1"
"97","hsa:5160","hsa:1737","hsa","00010","1.2.4.1"
"98","hsa:5160","hsa:1738","hsa","00010","1.2.4.1"
"99","hsa:5160","hsa:5313","hsa","00010","1.2.4.1"
"100","hsa:5160","hsa:5315","hsa","00010","1.2.4.1"
"101","hsa:5160","hsa:160287","hsa","00010","1.2.4.1"
"102","hsa:5160","hsa:3939","hsa","00010","1.2.4.1"
"103","hsa:5160","hsa:3945","hsa","00010","1.2.4.1"
"104","hsa:5160","hsa:3948","hsa","00010","1.2.4.1"
"105","hsa:5160","hsa:92483","hsa","00010","1.2.4.1"
"106","hsa:5161","hsa:1737","hsa","00010","1.2.4.1"
"107","hsa:5161","hsa:1738","hsa","00010","1.2.4.1"
"108","hsa:5161","hsa:5313","hsa","00010","1.2.4.1"
"109","hsa:5161","hsa:5315","hsa","00010","1.2.4.1"
"110","hsa:5161","hsa:160287","hsa","00010","1.2.4.1"
"111","hsa:5161","hsa:3939","hsa","00010","1.2.4.1"
"112","hsa:5161","hsa:3945","hsa","00010","1.2.4.1"
"113","hsa:5161","hsa:3948","hsa","00010","1.2.4.1"
"114","hsa:5161","hsa:92483","hsa","00010","1.2.4.1"
"115","hsa:5162","hsa:1737","hsa","00010","1.2.4.1"
"116","hsa:5162","hsa:1738","hsa","00010","1.2.4.1"
"117","hsa:5162","hsa:5313","hsa","00010","1.2.4.1"
"118","hsa:5162","hsa:5315","hsa","00010","1.2.4.1"
"119","hsa:5162","hsa:160287","hsa","00010","1.2.4.1"
"120","hsa:5162","hsa:3939","hsa","00010","1.2.4.1"
"121","hsa:5162","hsa:3945","hsa","00010","1.2.4.1"
"122","hsa:5162","hsa:3948","hsa","00010","2.3.1.12"
"123","hsa:5162","hsa:92483","hsa","00010","1.1.1.27"
"124","hsa:1737","hsa:1738","hsa","00010","1.1.1.27"
"125","hsa:160287","hsa:5313","hsa","00010","1.1.1.27"
"126","hsa:160287","hsa:5315","hsa","00010","1.1.1.27"
"127","hsa:3939","hsa:5313","hsa","00010","1.1.1.27"
"128","hsa:3939","hsa:5315","hsa","00010","1.1.1.27"
"129","hsa:3945","hsa:5313","hsa","00010","1.1.1.27"
"130","hsa:3945","hsa:5315","hsa","00010","1.1.1.27"
"131","hsa:3948","hsa:5313","hsa","00010","1.1.1.27"
"132","hsa:3948","hsa:5315","hsa","00010","1.1.1.27"
"133","hsa:92483","hsa:5313","hsa","00010","2.7.1.40"
"134","hsa:92483","hsa:5315","hsa","00010","2.7.1.40"
"135","hsa:5313","hsa:2023","hsa","00010","2.7.1.40"
"136","hsa:5313","hsa:2026","hsa","00010","2.7.1.40"
"137","hsa:5313","hsa:2027","hsa","00010","2.7.1.40"
"138","hsa:5313","hsa:387712","hsa","00010","2.7.1.40"
"139","hsa:5315","hsa:2023","hsa","00010","2.7.1.40"
"140","hsa:5315","hsa:2026","hsa","00010","2.7.1.40"
"141","hsa:5315","hsa:2027","hsa","00010","4.2.1.11"
"142","hsa:5315","hsa:387712","hsa","00010","4.2.1.11"
