"","pathway","n"
"1","00030",2
"2","00040",6
"3","00051",5
"4","00052",2
"5","00053",13
"6","00061",2
"7","00071",3
"8","00073",1
"9","00100",24
"10","00130",17
"11","00140",7
"12","00230",7
"13","00232",2
"14","00240",12
"15","00250",2
"16","00253",5
"17","00254",5
"18","00260",2
"19","00261",1
"20","00270",5
"21","00280",8
"22","00281",2
"23","00290",3
"24","00300",4
"25","00310",7
"26","00311",5
"27","00330",6
"28","00332",1
"29","00340",7
"30","00350",8
"31","00360",9
"32","00361",11
"33","00362",9
"34","00364",10
"35","00380",15
"36","00400",2
"37","00401",4
"38","00402",1
"39","00404",11
"40","00405",5
"41","00410",4
"42","00430",1
"43","00440",12
"44","00450",2
"45","00460",20
"46","00472",2
"47","00480",3
"48","00500",4
"49","00513",1
"50","00515",2
"51","00520",26
"52","00521",6
"53","00522",5
"54","00523",13
"55","00524",21
"56","00525",4
"57","00531",1
"58","00540",5
"59","00550",3
"60","00561",4
"61","00562",10
"62","00564",5
"63","00565",10
"64","00590",10
"65","00591",1
"66","00592",9
"67","00600",2
"68","00601",4
"69","00603",3
"70","00620",1
"71","00621",7
"72","00622",7
"73","00623",12
"74","00624",11
"75","00625",3
"76","00626",6
"77","00627",14
"78","00630",2
"79","00640",10
"80","00642",2
"81","00643",6
"82","00650",5
"83","00660",5
"84","00680",11
"85","00710",1
"86","00720",2
"87","00730",1
"88","00750",8
"89","00760",12
"90","00770",2
"91","00780",1
"92","00785",1
"93","00790",2
"94","00791",6
"95","00860",15
"96","00900",4
"97","00901",13
"98","00902",17
"99","00903",18
"100","00904",21
"101","00906",27
"102","00909",13
"103","00910",6
"104","00920",3
"105","00930",7
"106","00940",5
"107","00941",5
"108","00942",7
"109","00943",17
"110","00944",13
"111","00945",1
"112","00950",27
"113","00960",3
"114","00970",4
"115","00980",1
"116","00982",1
"117","00998",13
"118","00999",14
"119","01055",1
"120","01057",13
"121","01058",1
"122","01059",1
