"","pathway","n"
"1","00010",3
"2","00020",1
"3","00030",1
"4","00061",6
"5","00062",9
"6","00071",1
"7","00073",1
"8","00120",9
"9","00130",1
"10","00140",16
"11","00190",1
"12","00230",8
"13","00240",4
"14","00260",3
"15","00270",2
"16","00290",8
"17","00300",6
"18","00331",3
"19","00340",6
"20","00350",1
"21","00364",2
"22","00400",10
"23","00402",1
"24","00405",1
"25","00450",2
"26","00471",1
"27","00510",7
"28","00512",1
"29","00513",5
"30","00520",2
"31","00521",1
"32","00523",2
"33","00525",1
"34","00532",5
"35","00540",8
"36","00550",6
"37","00563",1
"38","00572",3
"39","00590",2
"40","00592",2
"41","00620",2
"42","00623",1
"43","00625",2
"44","00630",1
"45","00650",1
"46","00660",1
"47","00680",1
"48","00720",1
"49","00740",2
"50","00780",2
"51","00860",4
"52","00902",1
"53","00904",3
"54","00940",2
"55","00941",14
"56","00943",3
"57","00945",1
"58","00960",1
"59","00965",1
"60","00970",2
"61","00980",2
"62","00981",1
"63","00982",1
"64","00983",3
