"","pathway","n"
"1","00010",3
"2","00020",1
"3","00030",1
"4","00062",6
"5","00071",1
"6","00120",2
"7","00140",2
"8","00190",1
"9","00230",7
"10","00260",2
"11","00290",3
"12","00300",5
"13","00331",3
"14","00400",6
"15","00402",1
"16","00450",2
"17","00471",1
"18","00510",3
"19","00512",1
"20","00520",2
"21","00521",1
"22","00523",2
"23","00532",4
"24","00540",8
"25","00550",6
"26","00572",3
"27","00620",1
"28","00630",1
"29","00650",1
"30","00660",1
"31","00680",1
"32","00720",1
"33","00740",2
"34","00780",2
"35","00902",1
"36","00904",2
"37","00940",2
"38","00941",2
"39","00943",2
"40","00945",1
"41","00965",1
"42","00970",2
"43","00981",1
"44","00982",1
"45","00983",1
