"","name","n"
"1","ec:1.1.1.100",2
"2","ec:1.1.1.181",1
"3","ec:1.1.1.195",1
"4","ec:1.1.1.3",1
"5","ec:1.1.1.324",1
"6","ec:1.1.1.86",1
"7","ec:1.14.11.21",1
"8","ec:1.14.11.59",1
"9","ec:1.14.14.19",1
"10","ec:1.14.14.23",1
"11","ec:1.14.14.90",1
"12","ec:1.14.14.90 / ec:1.14.14.89",1
"13","ec:1.14.14.91",1
"14","ec:1.14.15.6",1
"15","ec:1.17.1.8",1
"16","ec:1.2.1.11",1
"17","ec:1.2.1.3",1
"18","ec:1.2.1.44",1
"19","ec:1.3.1.38",6
"20","ec:1.3.1.98",1
"21","ec:1.4.3.4",1
"22","ec:1.8.1.9",1
"23","ec:2.1.1.13 / ec:2.1.1.14",1
"24","ec:2.1.2.1",1
"25","ec:2.1.2.2",1
"26","ec:2.2.1.6",2
"27","ec:2.3.1.12",1
"28","ec:2.3.1.191",1
"29","ec:2.3.1.74",1
"30","ec:2.3.1.9",1
"31","ec:2.3.3.1",1
"32","ec:2.3.3.13",1
"33","ec:2.4.1.122",1
"34","ec:2.4.1.133",1
"35","ec:2.4.1.135",1
"36","ec:2.4.1.174",1
"37","ec:2.4.1.182",1
"38","ec:2.4.1.226",1
"39","ec:2.4.1.227",1
"40","ec:2.4.1.258",1
"41","ec:2.4.1.267",1
"42","ec:2.4.1.287",2
"43","ec:2.4.1.289",1
"44","ec:2.4.1.83",1
"45","ec:2.4.2.18",1
"46","ec:2.4.99.12",1
"47","ec:2.4.99.13",1
"48","ec:2.5.1.55",1
"49","ec:2.5.1.78",1
"50","ec:2.5.1.9",1
"51","ec:2.7.1.130",1
"52","ec:2.7.1.40",1
"53","ec:2.7.6.1",1
"54","ec:2.7.7.38",1
"55","ec:2.7.8.13",2
"56","ec:3.5.1.108",1
"57","ec:3.5.3.22",1
"58","ec:3.5.4.10",1
"59","ec:3.5.4.5",1
"60","ec:3.6.1.1",1
"61","ec:4.1.1.20",1
"62","ec:4.1.1.28",1
"63","ec:4.1.1.48",1
"64","ec:4.1.2.13",1
"65","ec:4.1.3.27",1
"66","ec:4.2.1.10",1
"67","ec:4.2.1.11",1
"68","ec:4.2.1.2",1
"69","ec:4.2.1.46",1
"70","ec:4.2.1.9",1
"71","ec:4.2.3.1",1
"72","ec:4.2.3.19",1
"73","ec:4.3.2.2",1
"74","ec:4.3.3.7",1
"75","ec:5.1.1.7",1
"76","ec:5.1.3.13",1
"77","ec:5.1.3.2",1
"78","ec:5.3.1.24",1
"79","ec:5.3.1.9",1
"80","ec:5.4.2.2",1
"81","ec:5.4.99.5",1
"82","ec:5.5.1.13",1
"83","ec:5.5.1.6",1
"84","ec:6.2.1.3",1
"85","ec:6.3.2.6",1
"86","ec:6.3.2.8",1
"87","ec:6.3.2.9",2
"88","ec:6.3.3.1",1
"89","ec:6.3.3.4",1
"90","ec:6.3.4.13",1
"91","ec:6.3.5.3",1
"92","ec:6.3.5.6",1
"93","ec:6.3.5.7",1
