"","name","n"
"1","ec:1.2.1.48",1
"2","ec:2.3.1.21",1
"3","ec:1.1.1.97",1
"4","ec:1.14.12.11",2
"5","ec:1.3.1.19",3
"6","ec:1.1.1.90",2
"7","ec:4.1.99.11",1
"8","ec:2.8.3.15",1
"9","ec:1.17.9.1",1
"10","ec:1.2.1.62",1
"11","ec:1.3.1.32",3
"12","ec:1.13.11.1",3
"13","ec:1.14.15.26",1
"14","ec:1.14.13.236",1
"15","ec:1.2.1.78",1
"16","ec:4.1.2.34",1
"17","ec:1.13.11.38",1
"18","ec:1.14.12.7",1
"19","ec:1.3.1.64",1
"20","ec:4.1.1.55",1
"21","ec:1.14.12.15",1
"22","ec:1.3.1.53",1
"23","ec:1.14.13.23",1
"24","ec:1.14.12.12",2
"25","ec:3.1.1.102",1
"26","ec:1.18.6.1",1
"27","ec:1.14.13.69",1
"28","ec:1.3.1.29",1
"29","ec:1.13.11.56",1
"30","ec:5.99.1.4",1
"31","ec:4.1.2.45",1
"32","ec:1.2.1.65",1
"33","ec:1.14.13.167",1
"34","ec:1.2.1.67",1
"35","ec:6.2.1.32",3
"36","ec:1.14.12.23",1
"37","ec:5.4.4.1",1
"38","ec:1.7.1.16",1
"39","ec:1.14.13.7",1
"40","ec:5.1.2.2",1
"41","ec:1.97.1.2",1
"42","ec:4.1.1.59",1
"43","ec:2.1.1.341",1
"44","ec:1.13.11.8",1
"45","ec:1.1.1.312",1
"46","ec:4.1.3.24",2
"47","ec:2.6.1.4",1
"48","ec:1.1.1.59",2
"49","ec:3.1.2.4",3
"50","ec:4.2.1.54",2
"51","ec:1.1.1.80",1
"52","ec:4.1.1.4",1
"53","ec:2.8.3.8",1
"54","ec:1.2.1.87",1
"55","ec:4.2.1.28",1
"56","ec:1.1.1.77",1
"57","ec:2.3.1.168",2
"58","ec:1.17.99.2",1
"59","ec:1.1.1.311",1
"60","ec:5.2.1.2",2
"61","ec:2.8.3.12",1
"62","ec:1.2.1.39",1
"63","ec:5.3.99.7",1
"64","ec:3.7.1.9",1
"65","ec:3.1.1.22",1
"66","ec:1.1.1.83",1
"67","ec:4.2.1.31",1
"68","ec:5.2.1.1",1
"69","ec:4.1.1.5",1
"70","ec:4.3.1.2",1
"71","ec:4.2.1.34",1
"72","ec:4.2.1.56",1
"73","ec:2.3.1.182",2
"74","ec:1.5.8.1",1
"75","ec:2.7.8.28",1
"76","ec:6.3.2.31",1
"77","ec:6.3.2.34",1
"78","ec:3.1.3.71",1
"79","ec:1.1.1.337",1
"80","ec:6.3.4.24",1
"81","ec:2.6.1.108",1
"82","ec:2.7.4.31",1
"83","ec:2.5.1.131",1
"84","ec:4.3.1.32",1
"85","ec:1.1.1.39",1
"86","ec:4.2.1.120",1
"87","ec:2.3.1.169",1
"88","ec:5.3.99.10",1
"89","ec:1.1.1.290",1
"90","ec:1.14.13.241",1
"91","ec:1.1.99.9",1
"92","ec:4.1.1.51",1
"93","ec:1.14.13.242",1
"94","ec:1.1.99.42",1
"95","ec:1.2.1.100",1
"96","ec:1.2.1.102",1
"97","ec:4.2.1.85",1
"98","ec:5.3.3.6",1
"99","ec:3.5.2.18",1
"100","ec:1.3.7.1",1
"101","ec:3.7.1.19",1
"102","ec:3.5.1.107",1
"103","ec:1.13.11.9",1
"104","ec:1.14.13.114",1
"105","ec:2.1.1.1",1
"106","ec:1.14.13.163",1
"107","ec:3.5.1.106",1
"108","ec:1.5.3.21",1
"109","ec:1.2.1.50",1
"110","ec:3.5.1.6",2
"111","ec:3.5.2.2",2
"112","ec:3.1.1.85",1
"113","ec:2.3.1.200",1
"114","ec:3.4.19.9",1
"115","ec:6.3.2.33",1
"116","ec:3.5.4.45",1
"117","ec:3.5.4.42",1
"118","ec:3.5.4.43",1
"119","ec:3.5.2.15",1
"120","ec:2.4.1.17",1
"121","ec:1.3.7.2",1
"122","ec:2.1.1.11",1
"123","ec:6.6.1.1",1
"124","ec:1.16.8.1",1
"125","ec:4.1.1.81",1
"126","ec:1.16.1.4",1
"127","ec:1.14.15.17",1
"128","ec:1.1.1.396",1
"129","ec:2.5.1.133",1
"130","ec:2.1.1.333",1
"131","ec:3.1.1.100",1
"132","ec:4.99.1.11",1
"133","ec:6.3.5.12",1
"134","ec:6.3.3.7",1
"135","ec:2.3.3.10",1
"136","ec:2.5.1.68",1
"137","ec:2.5.1.58",1
"138","ec:3.4.24.84",1
"139","ec:1.5.1.32",1
"140","ec:1.14.14.104",1
"141","ec:1.3.1.73",1
"142","ec:2.3.1.160",1
"143","ec:1.14.99.59",1
"144","ec:2.7.1.222",1
"145","ec:1.14.14.103",1
"146","ec:2.1.1.99",1
"147","ec:1.14.11.20",1
"148","ec:2.1.1.94",1
"149","ec:1.14.14.50",1
"150","ec:1.1.99.41",1
"151","ec:1.14.14.83",1
"152","ec:1.14.14.85",1
"153","ec:4.2.3.20",1
"154","ec:4.2.3.16",1
"155","ec:5.5.1.8",1
"156","ec:1.1.1.223",1
"157","ec:1.14.14.53",2
"158","ec:1.14.14.51",2
"159","ec:1.14.14.99",1
"160","ec:1.1.1.241",1
"161","ec:1.3.1.81",1
"162","ec:1.14.14.133",1
"163","ec:1.14.14.31",1
"164","ec:3.1.7.3",1
"165","ec:1.3.1.99",1
"166","ec:2.4.1.323",1
"167","ec:1.3.1.21",1
"168","ec:1.14.19.41",1
"169","ec:5.4.99.8",1
"170","ec:5.5.1.9",1
"171","ec:2.1.1.143",1
"172","ec:2.1.1.41",1
"173","ec:5.4.99.7",1
"174","ec:5.3.3.5",1
"175","ec:1.1.1.170",1
"176","ec:1.14.18.9",1
"177","ec:1.1.1.270",1
"178","ec:1.14.15.18",1
"179","ec:1.14.18.11",1
"180","ec:1.14.18.10",1
"181","ec:1.1.1.418",1
"182","ec:1.14.13.107",1
"183","ec:1.1.1.144",1
"184","ec:1.14.14.52",1
"185","ec:1.1.1.275",1
"186","ec:3.3.2.8",1
"187","ec:1.1.1.243",1
"188","ec:1.3.99.25",1
"189","ec:1.1.1.297",1
"190","ec:1.14.13.105",1
"191","ec:4.2.3.29",1
"192","ec:4.2.3.18",1
"193","ec:5.5.1.12",1
"194","ec:4.2.3.17",1
"195","ec:5.5.1.14",1
"196","ec:1.14.99.37",1
"197","ec:2.3.1.162",1
"198","ec:1.14.14.105",1
"199","ec:1.14.14.144",1
"200","ec:4.2.1.133",1
"201","ec:4.2.3.28",1
"202","ec:1.14.14.145",1
"203","ec:4.2.3.34",1
"204","ec:4.2.3.35",1
"205","ec:3.1.7.5",1
"206","ec:4.2.3.103",1
"207","ec:1.14.14.76",1
"208","ec:4.2.3.131",1
"209","ec:1.14.13.190",1
"210","ec:1.14.14.70",1
"211","ec:4.2.1.173",1
"212","ec:1.14.99.44",1
"213","ec:1.3.8.2",1
"214","ec:1.3.99.39",1
"215","ec:2.1.1.210",1
"216","ec:1.3.99.27",1
"217","ec:4.2.1.131",1
"218","ec:1.2.3.14",1
"219","ec:1.1.1.288",1
"220","ec:5.5.1.19",1
"221","ec:5.5.1.18",1
"222","ec:5.2.1.12",1
"223","ec:5.2.1.13",1
"224","ec:1.3.99.30",1
"225","ec:1.13.11.59",1
"226","ec:5.2.1.14",1
"227","ec:1.13.11.68",1
"228","ec:3.1.7.6",1
"229","ec:4.2.3.37",1
"230","ec:4.2.3.22",1
"231","ec:4.2.3.23",1
"232","ec:4.2.3.21",1
"233","ec:4.2.3.7",1
"234","ec:1.14.14.95",1
"235","ec:4.2.3.55",1
"236","ec:4.2.3.61",1
"237","ec:5.4.99.39",1
"238","ec:1.14.14.17",1
"239","ec:4.2.3.89",1
"240","ec:4.2.1.104",1
"241","ec:2.7.2.2",1
"242","ec:6.3.4.16",1
"243","ec:1.7.7.1",1
"244","ec:1.7.2.5",1
"245","ec:1.7.2.7",1
"246","ec:4.4.1.3",1
"247","ec:2.1.1.269",1
"248","ec:1.8.99.2",1
"249","ec:1.4.3.12",1
