"entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"187",NA,"gene",NA,725,1083,"rectangle",46,17,"#BFFFBF","mmu:20848",NA,NA,"mmu","05321",1,1,0.108695652173913,4,1,0.0476190476190476,0.000530785562632696,2,0.48914956647677,7,6,16,8,2.57058961834488e-16,0,"HB"
"189",NA,"gene",NA,541,1594,"rectangle",46,17,"#BFFFBF","mmu:21803 / mmu:21808 / mmu:21809",NA,NA,"mmu","05321",0,1,0,3,0,0,0.000517063081695967,3,1.86682914189012e-17,10,6,16,3,0,0,"NHNB"
"192",NA,"gene",NA,546,755,"rectangle",46,17,"#BFFFBF","mmu:16173",NA,NA,"mmu","05321",0,1,0,2,0,0,0.00123609394313968,1,1.86682914189012e-17,7,6,16,2,0,0,"NHNB"
"194",NA,"gene",NA,813,737,"rectangle",46,17,"#BFFFBF","mmu:16476",NA,NA,"mmu","05321",0,1,0.0177304964539007,1,0,0,0.00109051254089422,1,0.670937184942144,7,6,16,3,0.449489742783178,0,"NHNB"
"195",NA,"gene",NA,813,780,"rectangle",46,17,"#BFFFBF","mmu:18033 / mmu:19697",NA,NA,"mmu","05321",0,1,0.0963613937711995,4,0,0,0.00124223602484472,1,0.670937184942145,7,6,16,9,1,0,"HNB"
"226",NA,"gene",NA,636,654,"rectangle",46,17,"#BFFFBF","mmu:16162",NA,NA,"mmu","05321",0,1,0.143154486586494,3,0,0,0.00118343195266272,2,0.757618271677525,7,6,16,6,3.59913526424976e-16,0,"HNB"
"230",NA,"gene",NA,990,573,"rectangle",46,17,"#BFFFBF","mmu:16189",NA,NA,"mmu","05321",1,1,0.0869565217391304,2,0,0,0.0010351966873706,2,0.129633736946662,9,6,16,6,1.77601557280492e-16,1.3877561480028e-16,"HB"
"231",NA,"gene",NA,990,597,"rectangle",46,17,"#BFFFBF","mmu:16191",NA,NA,"mmu","05321",0,1,0,0,0,0,0.000443262411347518,2,0.129633736946662,9,6,16,2,2.00998717316985e-16,0,"NHNB"
"232",NA,"gene",NA,636,1337,"rectangle",46,17,"#BFFFBF","mmu:16186",NA,NA,"mmu","05321",0,1,0.0395467160037003,1,0,0,0.00106382978723404,7,0.0634462032682952,10,6,16,2,4.90720763632483e-17,5.23098143551836e-17,"NHNB"
"238",NA,"gene",NA,636,756,"rectangle",46,17,"#BFFFBF","mmu:16174 / mmu:16182",NA,NA,"mmu","05321",0,1,0.0837187789084181,3,0,0,0.00120918984280532,1,0.685431830906633,6,6,16,6,3.59913526424976e-16,1,"HNB"
"241",NA,"gene",NA,884,1069,"rectangle",46,17,"#BFFFBF","mmu:19885",NA,NA,"mmu","05321",1,1,0.0270582793709528,3,0,0,0.000472813238770686,8,0.239402824868443,8,6,16,5,1.37872855003494e-16,0,"NHB"
"250",NA,"gene",NA,884,1371,"rectangle",46,17,"#BFFFBF","mmu:15978",NA,NA,"mmu","05321",0,1,0.17113783533765,2,0,0,0.00112359550561798,2,1,8,6,16,6,1.16830900898998e-16,1.3877561480028e-16,"HNB"
"257",NA,"gene",NA,636,1021,"rectangle",46,17,"#BFFFBF","mmu:60504",NA,NA,"mmu","05321",0,1,0.0032377428307123,1,1,1,0.000529100529100529,2,0.117170118268341,8,6,16,2,0,0,"NHNB"
"259",NA,"gene",NA,725,1022,"rectangle",46,17,"#BFFFBF","mmu:20848",NA,NA,"mmu","05321",1,1,0.108695652173913,4,1,0.0476190476190476,0.000530785562632696,2,0.48914956647677,7,6,16,8,2.57058961834488e-16,0,"HB"
"264",NA,"gene",NA,884,1096,"rectangle",46,17,"#BFFFBF","mmu:19883",NA,NA,"mmu","05321",0,1,0.0215078630897317,3,0,0,0.000472813238770686,8,0.239402824868443,8,6,16,4,9.81441527264966e-17,0,"NHNB"
"265",NA,"gene",NA,884,1024,"rectangle",46,17,"#BFFFBF","mmu:20371",NA,NA,"mmu","05321",1,1,0.00555041628122109,1,0,0,0.000482858522452921,3,0,9,6,16,4,1.28529480917244e-16,0,"NHB"
"268",NA,"gene",NA,748,1594,"rectangle",46,17,"#BFFFBF","mmu:20371",NA,NA,"mmu","05321",1,1,0.00555041628122109,1,0,0,0.000482858522452921,3,0,9,6,16,4,1.28529480917244e-16,0,"NHB"
"293",NA,"gene",NA,578,260,"rectangle",46,17,"#BFFFBF","mmu:21898",NA,NA,"mmu","05321",0,1,0,2,0,0,0.00127064803049555,1,1.86682914189012e-17,8,6,16,2,0,0.816496580927726,"NHNB"
