"org","ensemblID","entrezGeneID","entrezGeneAccession"
"hsa","ENSG00000007001",151531,"UPP2"
"hsa","ENSG00000007038",10942,"PRSS21"
"hsa","ENSG00000007047",57787,"MARK4"
"hsa","ENSG00000007062",8842,"PROM1"
"hsa","ENSG00000007080",115098,"CCDC124"
"hsa","ENSG00000007129",90273,"CEACAM21"
"hsa","ENSG00000007168",5048,"PAFAH1B1"
"hsa","ENSG00000007171",4843,"NOS2"
"hsa","ENSG00000007174",1770,"DNAH9"
"hsa","ENSG00000007202",9703,"KIAA0100"
"hsa","ENSG00000007216",9058,"SLC13A2"
"hsa","ENSG00000007237",8522,"GAS7"
"hsa","ENSG00000007255",79090,"TRAPPC6A"
"hsa","ENSG00000007264",4145,"MATK"
"hsa","ENSG00000007306",1087,"CEACAM7"
"hsa","ENSG00000007312",974,"CD79B"
"hsa","ENSG00000007314",6329,"SCN4A"
"hsa","ENSG00000007341",54879,"ST7L"
"hsa","ENSG00000007350",8277,"TKTL1"
"hsa","ENSG00000007372",5080,"PAX6"
"hsa","ENSG00000007376",113000,"RPUSD1"
"hsa","ENSG00000007384",64285,"RHBDF1"
"hsa","ENSG00000007392",55692,"LUC7L"
"hsa","ENSG00000007402",9254,"CACNA2D2"
"hsa","ENSG00000007516",8938,"BAIAP3"
"hsa","ENSG00000007520",115939,"TSR3"
"hsa","ENSG00000007541",9091,"PIGQ"
"hsa","ENSG00000007545",57585,"CRAMP1"
"hsa","ENSG00000007866",7005,"TEAD3"
"hsa","ENSG00000007908",6401,"SELE"
"hsa","ENSG00000007923",55735,"DNAJC11"
"hsa","ENSG00000007933",2328,"FMO3"
"hsa","ENSG00000007944",29116,"MYLIP"
"hsa","ENSG00000007952",27035,"NOX1"
"hsa","ENSG00000007968",1870,"E2F2"
"hsa","ENSG00000008018",5689,"PSMB1"
"hsa","ENSG00000008056",6853,"SYN1"
"hsa","ENSG00000008083",3720,"JARID2"
"hsa","ENSG00000008086",6792,"CDKL5"
"hsa","ENSG00000008118",57172,"CAMK1G"
"hsa","ENSG00000008128",728642,"CDK11A"
"hsa","ENSG00000008130",65220,"NADK"
"hsa","ENSG00000008196",7021,"TFAP2B"
"hsa","ENSG00000008197",83741,"TFAP2D"
"hsa","ENSG00000008226",9940,"DLEC1"
"hsa","ENSG00000008256",9265,"CYTH3"
"hsa","ENSG00000008277",53616,"ADAM22"
"hsa","ENSG00000008282",6856,"SYPL1"
"hsa","ENSG00000008283",1534,"CYB561"
"hsa","ENSG00000008294",9043,"SPAG9"
"hsa","ENSG00000008300",1951,"CELSR3"
"hsa","ENSG00000008311",10157,"AASS"
"hsa","ENSG00000008323",55200,"PLEKHG6"
"hsa","ENSG00000008324",51188,"SS18L2"
"hsa","ENSG00000008382",84954,"MPND"
"hsa","ENSG00000008394",4257,"MGST1"
"hsa","ENSG00000008405",1407,"CRY1"
"hsa","ENSG00000008438",8993,"PGLYRP1"
"hsa","ENSG00000008441",4784,"NFIX"
"hsa","ENSG00000008513",6482,"ST3GAL1"
"hsa","ENSG00000008516",64386,"MMP25"
"hsa","ENSG00000008517",9235,"IL32"
"hsa","ENSG00000008710",5310,"PKD1"
"hsa","ENSG00000008735",23542,"MAPK8IP2"
"hsa","ENSG00000008838",9862,"MED24"
"hsa","ENSG00000008853",23221,"RHOBTB2"
"hsa","ENSG00000008869",54497,"HEATR5B"
"hsa","ENSG00000008952",7095,"SEC62"
"hsa","ENSG00000008988",6224,"RPS20"
"hsa","ENSG00000009307",7812,"CSDE1"
